device_globalid,servicecomponent_globalid
4f891eec530bc2b18da13f1f90a9c184,4fe0104571c9b11ca41a1b30fbc42f28
4d68cc4a07d24f879ea412094c2b762b,40d071fdee3b145f9ce258a29f686ed9
46ad083abe27cc7880509175be200967,48b2b5e0e38048de8dd9da03825a4d02
4f4cf79ada88ffae90d493a0e23cb4a7,40d071fdee3b145f9ce258a29f686ed9
412d22c0905d4046ae601949e7aa0677,4b7c1c95f962a4eca773a080327eb7f2
47c83dcfc42c422c960eb1e375d3f0be,4af17220851dfcd1a91dc4e1064f6a32
4b0527acacb872bb89eb358ea6248130,4a6f5f16351179de84e1dfba6ffdfd84
41c76534bfc65bf2adcf6bff9dcfbfbf,46c0b208d71a3fe79d4bd1ad18b6a79d
4c2cda094443fdd9be8d62038a7f3c52,48568ab85db82e968d0215bb1027b387
46be00248763ee68a3a97722362d86cc,4fe0104571c9b11ca41a1b30fbc42f28
45453c20ee9d62c2acdcea42e4d7f481,47b8b2aa9c3243608c70e9436a069c74
4bcb5ffa11e185a0ba12696d0f3bda8d,48b2b5e0e38048de8dd9da03825a4d02
4a114f4a1a7bd25dae5c07e9a423c397,48b2b5e0e38048de8dd9da03825a4d02
4eead5117add666590219358fc2e6e44,48b2b5e0e38048de8dd9da03825a4d02
4076ebf55139a8878647c3c86e886a70,41d6545db82167af9ce2528ed63fa468
469832e59fb13dbdbe2bfae3a1d51303,4e2d3cb456e810aeb403fc7dbab713be
4ee9cd15d8b19b759c5a8ce39bbce309,4feda6b3f61ee3c8bec730c1a808816a
4a252b79beae0dadbb20b8b4d7752fac,4d881d56da051916848dc2ef2c5e2911
4ceea1b7f81c5d759cddfb1e8ec76444,4ef23e843a2b7a9983741a192dd7eac1
446f3f455a45b633a9ad987770d76f0a,45a5b1057e80abc293cbfe82092c915e
4d1c7178788746d48a45f15c40d67249,439a239ec4e6b7bda462ead9769c4739
494ec79ef31deeaeba6a1ac2eca0c6c2,4fe0104571c9b11ca41a1b30fbc42f28
448e660dc1d682a09e299b3fbe26ccd7,4150ef05dddac6a3bc291e8a61e2fe77
4ce1f218e4f97dbc9079d18d7cb84a26,4db90b6ae4c320f7966b16f52780fe93
4007b5056ed196b49ece9849b13d6182,48b2b5e0e38048de8dd9da03825a4d02
47fc919aab3aa99bb0275556c84cb8e4,4b7c1c95f962a4eca773a080327eb7f2
4ca6a4b09b16224ea0ad9220f8f42a98,4a6f5f16351179de84e1dfba6ffdfd84
430399a9eeed996cb3f9cafcf31824e0,4c7361f24c047008b55e8b05025b9b23
4eceae13730fd327836466774dcac0b5,4d8a78a2c30ff4e4b914964268bda09f
48b662b90409f7f1be759a40476be559,4d8a78a2c30ff4e4b914964268bda09f
4d9cc2f9318aa099b68e1909ca65517e,4d881d56da051916848dc2ef2c5e2911
4bf82b4a5fab2db8917bc847f1f7d0a7,4a6f5f16351179de84e1dfba6ffdfd84
443c2c14758e362c8dbc688791615844,4d589285d3b36256a13f3b60b2aa430d
465b22c74c186842b8c95b22589f0ff9,4150ef05dddac6a3bc291e8a61e2fe77
4591bd108fdbfaabb889905394bd8c4b,47d489e637e1c35ebff0a9eeaddc51fc
484f6e27b1046ce1974a4c033e365432,4b7c1c95f962a4eca773a080327eb7f2
42e2d76179acb7b79ac4902ebe78bc02,4db90b6ae4c320f7966b16f52780fe93
4c992597c1e2e936908dcdf451c0a611,45a5b1057e80abc293cbfe82092c915e
4bf8ec3f7a009ac99b60e79813eda839,45a5b1057e80abc293cbfe82092c915e
455a2dde50f3d30093cff468b891c7a0,46792e8ea760b33296106c8c1e12762b
473af26020db529ba67f60c902f31b64,4b7c1c95f962a4eca773a080327eb7f2
4554c8739eb63a1d80f9bf3b8dee3bc2,4fe0104571c9b11ca41a1b30fbc42f28
49eaceebf72e73b498a3bfe498e750ee,4b7c7dd17b31845f8e618a79adc5eaef
44c4aff1dae235faad5dd47451e03049,439a239ec4e6b7bda462ead9769c4739
4a52d4067a0a001bbcc0bd21ea3b1033,4d8a78a2c30ff4e4b914964268bda09f
4d66a9d9610ac329b9850552233069aa,4a5788707c9043199e6e83c358d45b08
41fad9e4a80806fa8240d9708679ed5e,4fe0a798c6c45febaf42a2c982138538
